"","AQ1","WETLAND_TY","Ag_Acres"
"1","Crops - Dryland","Freshwater Emergent Wetland",21.1911873589312
"2","Crops - Dryland","Freshwater Forested/Shrub Wetland",6.87273695743843
"3","Crops - Dryland","Freshwater Pond",1.79558054385459
"4","Crops - Dryland","Other",0.30392464234521
"5","Crops - Dryland","Riverine",0.281539395556402
"6","Crops - Irrigated","Freshwater Emergent Wetland",0.924416158177237
"7","Crops - Irrigated","Freshwater Forested/Shrub Wetland",11.9960930962025
"8","Crops - Irrigated","Freshwater Pond",1.23671838799627
"9","Crops - Irrigated","Other",0.00572165392878356
"10","Crops - Irrigated","Riverine",0.0373546349754004
"11","Cultivated Crops","Freshwater Emergent Wetland",8.28948542019095
"12","Cultivated Crops","Freshwater Forested/Shrub Wetland",3.13927670766793
"13","Cultivated Crops","Freshwater Pond",0.633348065935298
"14","Cultivated Crops","Other",0.0842839085260337
"15","Cultivated Crops","Riverine",2.88608576511266
"16","Rangeland","Freshwater Emergent Wetland",28.8862279592423
"17","Rangeland","Freshwater Forested/Shrub Wetland",42.5327055598902
"18","Rangeland","Freshwater Pond",28.8365139611166
"19","Rangeland","Lake",32.9112217813184
"20","Rangeland","Other",20.5848196099755
"21","Rangeland","Riverine",123.859207689673
